Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords
SQUALO S.R.L.,IT,Italie,MILANO,VIA ALFREDO CAPPELLINI 23,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of men's and women's clothing and furnishings,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail distribution of men's and women's clothing and furnishings [source: Bureau van Dijk],www.furla.com,0,0,1,6,5,6,YES,NO,NO,,"Furla | Boutique en ligne et site officiel - sacs, portefeuilles et accessoires","Découvrez les collections Furla: sacs, portefeuilles et accessoires. Rendez-vous dans la boutique en ligne pour bénéficier d’offres exclusives et de retours gratuits.",,,,
BLU SRL,IT,Italie,CARPI,VIA LAGO SCAFFAIOLO 29,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",Clothing retailer [source: Bureau van Dijk],www.blusrl.eu,0,0,0,6,5,7,YES,NO,NO,www.bluitaliasrl.com,,,,,,
LACHU E HIJOS SOCIEDAD LIMITADA,ES,Espagne,LAS PALMAS DE GRAN CANARIA,,4771,Commerce de détail d'habillement en magasin spécialisé,,,Venta al menor de moda y complementos.,,www.yogijeans.com,1,1,1,6,5,6,YES,NO,NO,,Yogi Jeans - Tienda de Ropa Online en Canarias,Tienda de Ropa Online en Canarias. Trabajamos con las mejores marcas del mercado. Envío en Gran Canaria 24h / Resto de Islas 72h,,,,
LE FOLLIE S.R.L.,IT,Italie,AFFI,VIA PASCOLI 36,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,,www.lefollieshop.com,0,0,0,6,5,7,YES,NO,NO,,Le Follie Shop - Fashion & Style - Fall Winter 2024,"Online sale of footwear, clothing, bags and fashion accessories. Men's and women's footwear, women's clothing and men's and women's fashion accessories.",,,,
JOSE LUIS OLAZABAL OZCARIZ SL,ES,Espagne,DONOSTIA/SAN SEBASTIAN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Explotacion joyería.,,www.joyeriaolazabal.com,1,1,1,6,4,4,YES,NO,NO,,"Joyeria Relojeria San Sebastian - Concesionario Oficial de Cartier, Omega, Tudor, Longines, Baume & Mercier, Hamilton, Bell&Ross, Dinh Van, Joyas Olazabal en Donostia San Sebastian","Relojeria - Joyeria Olazabal. Concesionario Oficial de Cartier, Omega, Tudor, Longines, Baume & Mercier, Hamilton, Bell&Ross, Dinh Van, Joyas Olazabal en Donostia San Sebastian.",,,,
VM S.R.L.,IT,Italie,FOSSALTA DI PORTOGRUARO,VIA IPPOLITO NIEVO 24,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.magazzinivoltolina.com,0,0,1,6,5,7,YES,NO,NO,www.vm-italia.com,,,,,,
FRISCO INTERNATIONAL CLOTHING SA,ES,Espagne,MALAGA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing products in Spain,Retail,"Explotación de tiendas de ropa de hombre, mujer y niño.",Engaged in the retail sale of clothing products in Spain [source: Bureau van Dijk],www.fcandcompany.com,0,-1,0,6,4,7,YES,YES,,fcandcompany.com,,,,,,
"CASA DAS PELES - CONFECCOES, S.A.",PT,Portugal,LISBOA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of family clothing stores,Retail,Grossista e retalhista de confeções em pele e marroquinarias - 100%,Engaged in the management and operation of family clothing stores [source: Bureau van Dijk],www.casadaspeles.pt,0,0,2,6,5,10,YES,NO,NO,,"Criar, confeccionar e comercializar artigos em pele | CdP Casa das Peles","A casa das Peles Cria, confecciona e comercializa artigos em pele com uma matéria prima de excelência",,,,
ARTE S.R.L.,IT,Italie,TREVIGLIO,VICOLO ANTONIO GENDERINI 1,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,www.nightmarket.it,0,0,0,6,6,7,YES,NO,NO,www.bertoliniarte.it,,,,bertoliniarte.it,Ce domaine est peut-être à vendre!,
NNCK ITALIA S.R.L.,IT,Italie,CARPI,,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,corporate.nafnaf.it,0,-1,0,6,4,5,YES,YES,,www.nafnaf.it,,,,,,
