Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords
ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)",www.zara.com,31,17,22,459,352,300,YES,NO,NO,www.fashionwear1.gr,,,,IÎ¤Î§ ÎÎÎÎÎ£ MONOÎ Î¡ÎÎ£Î©Î Î Î.Î.,,
RANDEVU,RU,Fédération de Russie,MOSCOW,"UL. SKAKOVAYA D. 17, STR. 2, KOM. 2",4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear",Wholesale,?????????? ????? ? ???????????,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear [source: Bureau van Dijk]",www.rendez-vous.ru,15,14,1,306,230,337,YES,NO,NO,www.rest-randevu.ru,Интернет-магазин обуви и одежды в Москве,Интернет-магазин обуви и одежды в Москве. Доставка по РФ 0 руб. Сертификаты качества. Новые коллекции с кешбэком 10% в интернет-магазине Rendez-Vous,,,,
ZEEMAN TEXTIELSUPERS,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories,Retail,"Négoce au détail ou en gros de vêtements, accessoires, articles destinés à l'habitation.",Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories [source: Bureau van Dijk],www.zeeman.com,4,3,4,164,137,147,YES,NO,NO,,Zeeman. Zo eenvoudig kan het zijn.,Goede kwaliteit voor de laagst mogelijke prijs. Door alles eenvoudig te houden. Van kleding tot woontextiel. ✔30 dagen bedenktijd ✔2 werkdagen levertijd,,,,
ANSWEAR.COM S.A.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Digital platform for the sale of branded clothing, footwear and accessories in the CEE region",Wholesale; Retail; Services,,The main activities of the Company are Electronic Shopping and Mail-Order Houses.,www.answear.com,8,5,1,149,90,73,YES,NO,NO,,"Answear.com sklep internetowy z modą damską, męską i dziecięca - wysyłka nawet w 24h.","Masz styl z Answear.com! Odkryj modne ubrania i obuwie damskie, męskie i dziecięce. Tysiące produktów ponad 500 marek. Wysyłka nawet w 24h.",,,,
REGENT GOLD,RU,Fédération de Russie,"AGALATOVSKOE SELSKOE POSELENIE, D. SKOTNOE","UL. SAVUSHKINA D. 126, LIT. A, POMESHCH. 133-N",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,???????? ?????????? ?????????,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.zolotoy.ru,22,16,5,141,103,117,YES,NO,NO,,"Женский интернет-журнал ""ЗОЛОТОЙ""","Женский журнал «ЗОЛОТОЙ» – твой верный советчик в том, что касается красоты, моды, стиля, отношений и всего, что может быть тебе интересно.",,,,
WOLW-POL SP. Z O.O.,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of clothing products,Wholesale,,Engaged in the wholesale distribution of clothing products [source: Bureau van Dijk],www.dieselshop.pl,11,6,1,135,105,99,YES,NO,NO,,,,,,,
NILSON GROUP AB FILIAL NORGE,NO,Norvège,OSLO,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,SKODETALJHANDEL MED DERTIL NATURLIG HØRENDE VIRKSOMHET.,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],,-2,-20,-6,120,125,191,YES,YES,,,,,,,,
SAKURA LLC,RU,Fédération de Russie,VELIKII NOVGOROD,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],xn--23-6kca3cvbes.xn--p1ai,0,4,5,94,69,131,YES,NO,NO,ilovesakura.ru/spb,,,,"Доставка роллов, суши и пиццы в Санкт-Петербург. Круглосуточная доставка еды | Сакура — это вкусно!","Сакура — это вкусно! Доставка суши, пиццы, корейской еды, лапши вок в коробочке в Санкт-Петербург круглосуточно 24 часа. Заказать онлайн или по телефону ☎ 8 (812) 458 88 88",
LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"???????? ???????, ??????, ????????????.","Trade with clothes, footwear, accessories.",www.hugoboss.com/ru,7,3,6,90,49,66,YES,NO,NO,www.emg.ru,404 - Page Not Found,,,Агентство маркетинговых коммуникаций EMG,"EMG - креативное агентство маркетинговых коммуникаций. Свяжитесь с нами уже сегодня, чтобы обсудить ваши задачи и найти оптимальные решения для их реализации.",
MNG-MANGO U.K. LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the production and retail distribution of clothing and accessories for women and men,Manufacturing; Retail,,Retail of clothes and accessories.,www.shop.mango.com,4,-5,-2,89,65,80,YES,YES,,,,,,,,
B & B COLLECTION SRL,RO,Roumanie,BUCURESTI SECTORUL 3,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the import and distribution of more than 100 international brands of watches and jewelry,Wholesale,,Engaged in the import and distribution of more than 100 international brands of watches and jewelry [source: Bureau van Dijk],www.bbcollection.ro,11,7,10,88,70,86,YES,NO,NO,,"B&B Collection - Ceasuri, Bijuterii, Genti si Accesorii, Instrumente de scris, Cosmetice, Ceasuri elvetiene.",,,,,
SEZONNAYA KOLLEKTSIYA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of shoe stores,Retail,???????? ??????,Engaged in the operation of shoe stores [source: Bureau van Dijk],zenden.ru,1,0,-2,78,60,128,YES,NO,YES,,ÐÑ Ð½Ðµ ÑÐ¾Ð±Ð¾Ñ?,,,,,
GRUPPO PRITELLI S.R.L.,IT,Italie,CATTOLICA,VIA RESPIGHI 54 INT.4,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],www.gruppopritelli.it,2,0,1,74,67,63,YES,NO,NO,www.gpracingapparels.com,Gruppo Pritelli,Gruppo Pritelli è un’azienda in continua evoluzione. La creatività e il talento hanno permesso al Gruppo di intuire le tendenze future.,,Official Clothing and accessories MotoGP | GP Racing Apparels,Buy the MotoGP and Superbike clothing and accessories. Riders and teams merchandising is on GP Racing Apparel.,"Motogp, merchandising, store, superbike, apparel"
SUGAR S.R.L.,IT,Italie,AREZZO,CORSO ITALIA 60,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.sugar.it,9,7,8,72,75,77,YES,NO,NO,www.sugarmondialsrl.com,SUGAR - CONTEMPORARY IDEAS ON FASHION - MENSWEAR AND WOMENSWEAR,"Luxury shop for everything fashion - SUGAR boasts an exclusive selection from the best designers of clothes , shoes, bags and accessories for men and women. Register to get access to unique designs.",,,,
TREID MANAGEMENT,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale of clothing apparel,Wholesale,??????? ??????,Engaged in the wholesale of clothing apparel [source: Bureau van Dijk],lgcity.ru,8,6,11,70,62,93,YES,NO,NO,,,,,,,
WISE S.R.L.,IT,Italie,CREMONA,CORSO GIUSEPPE MAZZINI 71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.wiseboutique.com,2,1,1,69,65,70,YES,NO,NO,www.netwise.it,Wise Boutique,,"Magento, Varien, E-commerce",,,
ETERNA MODE GMBH ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,PARNDORF,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,-4,2,11,67,79,108,YES,NO,NO,,,,,,,
NEW YORKER HUNGARY KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail trade of clothing apparels and footwear for men and women,Retail,,Engaged in the retail trade of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.newyorker.de,22,13,17,67,55,67,YES,NO,NO,,NEW YORKER | Dress for the moment,"Entdecke die neuesten Modetrends fÃ¼r Damen und Herren bei NEW YORKER. Kleidung von AMISU, CENSORED, FISHBONE, SMOG und BLACK SQUAD.","Amisu, Smog, Fishbone, Censored, Accessoires, Denim, Streetwear, Sportwear, Underwear, Trends, Outfits, Kollektionen",,,
ARENA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Retail sale of leather goods,Retail,???????? ?????? ? ????????????,sale of footwear and accessories,www.noone.ru,6,3,1,64,48,69,YES,NO,NO,arena-city65.ru,"Мультибрендовый магазин NO ONE — итальянская обувь, сумки и аксессуары","NO ONE (НОУВАН) это более 100 европейских брендов обуви, одежды, сумок и аксессуаров: AGL, Baldinini, Casadei, Fabi, Premiata, Principe Di Bologna, Sergio Rossi, Doucal’s и многие другие.","Более 90 европейских брендов: AGL, Baldinini, Casadei, Fabi, Premiata, Sergio Rossi. Все в наличии! Закажите сейчас",,,
ENCUENTRO MODAS SLU,ES,Espagne,ARAFO,,4771,Commerce de détail d'habillement en magasin spécialisé,"Primarily engaged in the design, manufacture and retail sale of wearing apparel and accessories",Manufacturing,Comercio al por menor de prendas de vestir y complementos para señora.,"Primarily engaged in the design, manufacture and retail sale of wearing apparel and accessories [source: Bureau van Dijk]",www.encuentromoda.com,0,-5,3,64,54,74,YES,NO,YES,,ENCUENTRO | Moda para Mujer de la talla 38 a la 48,"Ropa de mujer de la talla 38 a la talla 48. Inspírate con la nueva colección de Encuentro y descubre las últimas tendencias en ropa y accesorios de mujer a precios asequibles. Abrigos, bolsos, ropa, bisutería, vestidos, camisetas y mucho más. ENCUENTRO REBAJAS | ÚLTIMOS PRECIOS","Encuentro, tienda, online, moda, mujer, comprar, tendencias, verano, primavera, otoño, invierno, tallas 38 a 48,",,,
"TORRES JOALHEIROS, S.A.",PT,Portugal,LISBOA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry,Retail,"A sociedade tem por objeto social o comércio de ourivesaria, joalharia e relojoarias, bijuteria e artigos afins incluindo os produzidos ou comercializados pelas marcas representadas bem como o exercício destas atividades comerciais por correspondência ou via internet",Engaged in the retail sale of watches and jewelry [source: Bureau van Dijk],www.torres.pt,15,8,12,64,46,68,YES,NO,NO,torres.pt,Alta Relojoaria e Joalharia em Lisboa e Cascais | Torres Joalheiros,Torres Joalheiros é especialista em alta relojoaria e joalharia em Lisboa e Cascais. Com mais de 100 anos de história representa mais de 40 marcas de luxo.,,Alta Relojoaria e Joalharia em Lisboa e Cascais | Torres Joalheiros,Torres Joalheiros é especialista em alta relojoaria e joalharia em Lisboa e Cascais. Com mais de 100 anos de história representa mais de 40 marcas de luxo.,
C & A MODE KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.c-and-a.com/hu,2,-5,3,64,52,79,YES,NO,NO,"www.c-and-a.hu
www.c-and-a.com/eu/en/shop",C&A Mode günstig online kaufen | C&A Online-Shop,Entdecke Mode für die ganze Familie zu günstigen Preisen ➽ Jetzt bei C&A ➽ Große Auswahl ✓ Trendige Styles ✓,,,,
"JOINT STOCK COMPANY STOLESHNIKOV,12 JSC STOLESHNIKOV,12",RU,Fédération de Russie,MOSCOW,"PER. NIZHNII KISELNYI D. 4, ET 5 POM.I KOM 15",4771,Commerce de détail d'habillement en magasin spécialisé,Retail distribution of knitted and crocheted apparel,Retail,,Retail distribution of knitted and crocheted apparel [source: Bureau van Dijk],hermes.com,16,8,7,62,37,38,YES,NO,NO,,403 Forbidden,,,,,
AXEL KAUFMANN APS,DK,Danemark,AARHUS C,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in Denmark,Retail,,Engaged in the retail sale of clothing principally in Denmark [source: Bureau van Dijk],www.kaufmann.dk,1,0,1,57,62,70,YES,NO,NO,,Herretøj online | » Køb stilfuldt herretøj hos Kaufmann,» Køb herremode hos Kaufmann | Altid et stort udvalg af herretøj | Sikker nethandel ✓ | Byt i Kaufmanns butikker over hele landet ✓,,,,
OCHNIK S.A.,PL,Pologne,GARWOLIN,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and accessories in Poland,Retail,,Primarily engaged in the retail sale of clothing and accessories in Poland [source: Bureau van Dijk],www.ochnik.com,9,4,6,58,44,55,YES,NO,NO,,OCHNIK | OdzieÅ¼ i galanteria skÃ³rzana najwyÅ¼szej jakoÅci,Sklep internetowy renomowanej polskiej marki OCHNIK z najwyÅ¼szej jakoÅci galanteriÄ i odzieÅ¼Ä skÃ³rzanÄ. SprawdÅº naszÄ ofertÄ i wybierz coÅ dla siebie!,"OCHNIK, OCHNIK sklep, kurtki skÃ³rzane, kurtki damskie, kurtki mÄskie, koÅ¼uch damski, koÅ¼uch mÄski, torebki skÃ³rzane, portfele skÃ³rzane, teczki, rÄkawiczki",,,
ME AND EM LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing,Retail,,Design and retail contemporary clothing and accessories.,www.meandem.com,12,2,0,57,26,20,YES,NO,NO,,Women's Designer Fashion + Luxury Clothing | ME+EM,Welcome to ME+EM. Discover luxury and contemporary fashion with timeless style. Shop designer clothing and accessories for women.,,,,
CARRY SP. Z O.O.,PL,Pologne,POZNAN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,,Trade: outwear,www.carry.pl,9,2,6,56,50,79,YES,NO,NO,,CARRY.PL - Sklep z modą damską i męską,Sprawdź naszą szeroką ofertę i zamów ubrania z darmową dostawą już od 150 zł w Carry.pl,,,,
NEWFASHION LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail sale of textiles in specialised stores,Retail,???????? ??????? ???????? ????? FINN FLARE.,"Sale of clothing, trademark FINN FLARE.",www.finn-flare.ru,7,5,8,55,47,83,YES,NO,NO,,Just a moment...,,,,,
PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,???????? ?????????? ?????????,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],pandora.net,4,1,13,55,41,77,YES,NO,NO,pandorarussia.ru,Attention Required! | Cloudflare,,,Ювелирные украшения PanClub – купить в официальном интернет-магазине (ex Pandora) с доставкой по Москве и РФ,"PanClub (ex Pandora) - это ювелирный мультибренд с украшениями талантливых дизайнеров, которые влюбляют в себя с первого взгляда.  Выбирайте изделия Pandora и еще более 25 брендов для себя или в подарок: золото и серебро, кольца и серьги со вставками из драгоценных камней. Бриллианты, топазы и аметисты, горный хрусталь, цитрины и золотистые россыпи рутила — все они готовы стать вашими ювелирными талисманами.  Гарантия качества. Доставка по всей России.",
PLANETA SPORT D.O.O. BEOGRAD,RS,Serbie,BEOGRAD-VRACAR,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail of sports equipment, accessories, and clothing products",Retail,,Retail sale of clothing in specialised stores,www.planetasport.rs,9,7,7,54,44,42,YES,NO,NO,www.planplus.rs,"Patike, Sportska oprema, obuća, odeća - Kupujte Online | Planeta Sport","Planeta Sport - Najveća ponuda patika, sportske odeće i obuće u Srbiji. Najbolje cene i akcije u svakoj sezoni. Nova kolekcija 2024. ONLINE prodaja.","Patike, Sportska oprema, odeća, obuća",Digitalna mapa i poslovni adresar Srbije | PlanPlus.rs,"Sve ulice, javni i poslovni objekti na jednom mestu. Adrese, telefoni, tačne lokacije, radno vreme.","planplus.rs, planplus, mapa, mapa ulica, mapa srbije, mapa beograda, internet portal, internet portal srbije"
VENEZIA OGANOWSKA NACHILO SP.J.,PL,Pologne,WARSZAWA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Primarily engaged in the retail sale of footwear and leather goods,Retail,,"Trade: footwear, leather accessories",www.venezia.pl,0,-6,3,53,45,65,YES,NO,YES,venezia.pl,"Venezia – firmowy sklep online. Markowe buty online, obuwie damskie, obuwie męskie, torby damskie, kurtki damskie
						- Sklep z butami online Venezia",,,"Venezia – firmowy sklep online. Markowe buty online, obuwie damskie, obuwie męskie, torby damskie, kurtki damskie
						- Sklep z butami online Venezia",,
MYUNTS GRUPP,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,???????? ??????,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",thomas-muenz.ru,8,4,3,53,29,47,YES,NO,NO,,ÐÑ Ð½Ðµ ÑÐ¾Ð±Ð¾Ñ?,,,,,
VAN GRAAF GMBH SP.K.,PL,Pologne,WROCLAW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of outerwear,Retail,,Trade: outwear,www.vangraaf.pl,-1,-6,2,48,37,59,YES,YES,,www.vangraaf.com,VANGRAAF.COM,,,VAN GRAAF International - Company,"Since its foundation in 2001, VAN GRAAF has become one of the leading fashion companies in Europe.",
NEW YORKER FINLAND OY,FI,Finlande,HELSINKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels and accessories,Retail,"Bolagets verksamhetsområde är detaljförsäljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som är förknippat med de. Bolaget kann äga fastigheter, värdepapper och aktier.","Bolagets verksamhetsomrade ar detaljforsaljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som ar forknippat med de. Bolaget kann aga fastigheter, vardepapper och aktier.",www.newyorker.de,9,5,4,48,39,37,YES,NO,NO,porinpuuvilla.fi,NEW YORKER | Dress for the moment,"Entdecke die neuesten Modetrends fÃ¼r Damen und Herren bei NEW YORKER. Kleidung von AMISU, CENSORED, FISHBONE, SMOG und BLACK SQUAD.","Amisu, Smog, Fishbone, Censored, Accessoires, Denim, Streetwear, Sportwear, Underwear, Trends, Outfits, Kollektionen",Porinpuuvilla,,
IRIDE METALLI SPA,IT,Italie,MILANO,VIALE CERTOSA 95,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry products,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail sale of watches and jewelry products [source: Bureau van Dijk],www.iridemetalli.com,0,0,0,46,48,52,YES,NO,NO,,Iride Metalli | HOME,,,,,
RETAIL DISTRIBUTION CONCEPTS,BE,Belgique,BRUXELLES,MARGUERITE BERVOETSSTRAAT 94,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.retail-distribution.info,-3,-5,-1,45,35,50,YES,YES,,www.mano.be/fr/?doing_wp_cron=1626471572.3307049274444580078125,"Retail-distribution by Frank Rosenthal - Prolonger la réflexion de mes 9 livres ""Value for money""; ""Image-Prix Mode d'emploi"",""Mieux piloter sa relation-client"", ""Le Retail aux Etats-Unis"",""Les incontournables du commerce de demain"" ,""Booster le commerce"", ""Donner du sens au commerce"",  ""Inspirer le commerce"" et ""Mutations du commerce post-covid""
Prendre du recul et s'interroger sur l'actualité de la distribution, du commerce et de la consommation.
Parmi plus de 3500 articles de ce blog qui existe depuis 2008 : des benchmarks internationaux et français,  plus de 100 villes, plus de 20 pays, plus de 3000 visites magasins réelles et effectuées. Je ne parle ici que des magasins que j'ai visités REELLEMENT et non virtuellement","Prolonger la r&eacute;flexion de mes 9 livres &quot;Value for money&quot;; &quot;Image-Prix Mode d'emploi&quot;,&quot;Mieux piloter sa relation-client&quot;, &quot;Le Retail aux Etats-Unis&quot;,&quot;Les incontournables du commerce de demain&quot; ,&quot;Booster le commerce&quot;, &quot;Donner du sens au commerce&quot;,  &quot;Inspirer le commerce&quot; et &quot;Mutations du commerce post-covid&quot;
Prendre du recul et s'interroger sur l'actualit&eacute; de la distribution, du commerce et de la consommation.
Parmi plus de 3500 articles de ce blog qui existe depuis 2008 : des benchmarks internationaux et fran&ccedil;ais,  plus de 100 villes, plus de 20 pays, plus de 3000 visites magasins r&eacute;elles et effectu&eacute;es. Je ne parle ici que des magasins que j'ai visit&eacute;s REELLEMENT et non virtuellement",,404 Page introuvable,,
SZINGA-SPORT KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and footwear products,Retail,,Engaged in the retail sale of clothing and footwear products [source: Bureau van Dijk],www.playersroom.hu,1,0,3,45,36,53,YES,NO,NO,sportfactory.hu,Playersroom | Playersroom Magyarország legnagyobb sportcipő üzlethálózata,,,"Sportfactory | SPORTFACTORY.HU - Mozogj többet, költs kevesebbet!",,
KOTON TEXTILE LLC,RU,Fédération de Russie,MOSCOW,"NAB. NOVODANILOVSKAYA D. 6, K. 1, POM.XXIX KOM. 4",4771,Commerce de détail d'habillement en magasin spécialisé,Retail sale of clothing,Retail,????????? ???????? ??????? ? ???? ????????? Koton,Retail trade with clothing in Koton retail chain,textile.ru,-1,-3,-1,45,33,66,YES,YES,,,,,,,,
VERTIKALNOE INTEGRIROVANIE,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,???? ??????? ????? ? ??????????? TERVOLINA,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.tervolina.ru,1,2,3,39,35,72,YES,NO,NO,,,,,,,
LUX TRADE LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear and other fashion accessories",Wholesale,"??????? ???????? ??????? ??????? ? ?????? ??? ???????? Gulliver, Gulliver Baby ? Button Blue.","Wholesale of kids apparel and shoes under trade marks Gulliver, Gulliver Baby and Button Blue.",gulliver-wear.com,5,3,6,38,31,47,YES,NO,NO,"wokster-light.ru
www.gulliver.ru/brands/gulliver",Home page,,,,,
CROCKID LIMITED TRADE DEVELOPMENT,RU,Fédération de Russie,PERM,"UL. YAKHTENNAYA D. 24, K. 2 LIT. A, POMESHCH. 54-N, POMESHCH. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,??????? ??????,children's wear.,crockid.ru,7,3,3,36,19,19,YES,NO,NO,,"Интернет-магазин детской одежды Crockid в городе Санкт-Петербург  – купить по выгодной цене с доставкой, официальный сайт производителя",Купить детскую одежду в городе Санкт-Петербург на официальном сайте производителя Crockid. Каталог одежды для ребенка по выгодным ценам! Доставка по всей России. Гарантия! Более 90 магазинов по всей стране.,"Санкт-Петербург, детская одежда, Crockid, Крокид, купить, интернет-магазин, официальный сайт, производитель, каталог, доставка по России, недорого",,,
"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,kupnja i prodaja robe;obavljanje trgova?kog posredovanja na doma?em i inozemnom tritu;zastupanje stranih tvrtki,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus",www.deichmann.hr,5,2,5,35,29,37,YES,NO,NO,www.deichmann.com,,,,Vente chaussures sur le magasin en ligne | DEICHMANN,"Découvrez chaussures pour femmes, hommes et enfants à petits prix sur le magasin en ligne DEICHMANN. Grand choix ✓ Grandes marques ✓ Commandez dès aujourd'hui!",
OFFPRAIS,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,???????? ???????,Sale of clothes,www.offprice.eu,4,2,4,34,23,33,YES,NO,NO,,"Аутлет OFFPRICE — официальный сайт | Магазины «ОФФПРАЙС» в Москве, Мытищах","Аутлеты OFFPRICE — сеть магазинов для умного шоппинга. Наш каталог содержит более 1000 брендов одежды и обуви со скидками от 40 до 85 % круглый год! Ищите свои сокровища, выбирайте, покупайте и сочетайте, как вам хочется. Охотьтесь за брендами здесь!",аутлет offprice оффпрайс off price офф прайс сеть магазинов официальный сайт каталог товаров адреса на карте в москве свиблово на лубянке савеловская комсомольская теплый стан технопарк,,,
VALTER FRANCO RICCI SOCIETA' PER AZIONI SIGLABILE IN VALTER FRANCO RICCI S.P.A.,IT,Italie,ALESSANDRIA,CORSO ROMA 144,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail sale of jewelry products [source: Bureau van Dijk],www.astrua.com,3,2,2,33,26,30,YES,NO,NO,,Attention Required! | Cloudflare,,,,,
OKAIDI BELGIUM,BE,Belgique,FROYENNES,,4641,Commerce de gros de textiles,Engaged in the retail sale of infant and children's wear,Retail,,Engaged in the retail sale of infant and children's wear [source: Bureau van Dijk],nl.okaidi.be,1,-2,0,32,23,30,YES,NO,NO,fr.okaidi.be,,,,,,
UAB ARMITANA,LT,Lituanie,VILNIAUS M.,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.armitana.lt,3,1,1,32,23,27,YES,NO,NO,,,,,,,
DIANITA STRUMICA DOOEL,MK,Macédoine du Nord,STRUMICA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,2,1,1,32,61,8,YES,NO,NO,,,,,,,
